FRXX1202;Saint-Germain-la-Montagne
FRXX1203;Saint-Just-pres-Brioude
FRXX1204;Saugues
FRXX1205;Saint-Firmin-sur-Loire
FRXX1206;Montigny-en-Gohelle
FRXX1207;Haillicourt
FRXX1208;Noyelles-les-Vermelles
FRXX1209;Saint-Clement-sur-Valsonne
FRXX1210;Sully
FRXX1211;Varennes-Saint-Sauveur
FRXX1212;Saint-Germain-Laval
FRXX1213;Saint-Priest-en-Jarez
FRXX1214;Panissieres
FRXX1215;Sury-le-Comtal
FRXX1216;Richemont
FRXX1217;Rurange-les-Thionville
FRXX1218;Ennery
FRXX1219;Phalsbourg
FRXX1220;Achen
FRXX1221;Sarralbe
FRXX1222;Algrange
FRXX1223;Sierck-les-Bains
FRXX1224;Saint-Alyre-es-Montagne
FRXX1225;Saint-Quintin-sur-Sioule
FRXX1226;La Suze-sur-Sarthe
FRXX1227;Hendaye
FRXX1228;Lourdes
FRXX1229;Rabastens-de-Bigorre
FRXX1230;Juillan
FRXX1231;Guchen
FRXX1232;Leuy
FRXX1233;La Tagniere
FRXX1234;Petit-Couronne
FRXX1235;Morgny-la-Pommeraye
FRXX1236;Saint-Martin-aux-Arbres
FRXX1237;Saint-Martin-de-Boscherville
FRXX1238;Le Breil-sur-Merize
FRXX1239;Semur-en-Vallon
FRXX1240;La Quinte
FRXX1241;La Fresnaye-sur-Chedouet
FRXX1242;Saint-Caprais
FRXX1243;Veurey-Voroize
FRXX1244;Notre-Dame-de-Vaulx
FRXX1245;Villard-Bonnot
FRXX1246;Frontonas
FRXX1247;Saint-Clair-du-Rhone
FRXX1248;Vaulnaveys-le-Haut
FRXX1249;Saint-Jean-de-Moirans
FRXX1250;Tauves
FRXX1251;Riviere
FRXX1252;Cotlliure
FRXX1253;Saint-Pierre-les-Elbeuf
FRXX1254;Saint-Wandrille-Rancon
FRXX1255;Le Trait
FRXX1256;Greneville-en-Beauce
FRXX1257;Sully-sur-Loire
FRXX1258;Saint-Vincent-Rive-d'Olt
FRXX1259;Labastide-du-Vert
FRXX1260;Marcilhac-sur-Cele
FRXX1261;Lalbenque
FRXX1262;Dallet
FRXX1263;Chauriat
FRXX1264;Vollore-Ville
FRXX1265;Chatelguyon
FRXX1266;Saint-Pierre-le-Chastel
FRXX1267;Saint-Hilaire-les-Monges
FRXX1268;Saint-Andre-des-Eaux
FRXX1269;Treillieres
FRXX1270;Saint-Gereon
FRXX1271;Saint-Martin-Boulogne
FRXX1272;Longuenesse
FRXX1273;Marquise
FRXX1274;Guines
FRXX1275;Billy-Montigny
FRXX1276;Corbas
FRXX1277;Fretigney-et-Velloreille
FRXX1278;La Vaivre
FRXX1279;Marcigny
FRXX1280;Le Barcares
FRXX1281;Saint-Jean-de-Chevelu
FRXX1282;Saint-Pierre-d'Albigny
FRXX1283;Ugine
FRXX1284;Sainte-Foy-Tarentaise
FRXX1285;Sainte-Helene-du-Lac
FRXX1286;La Chapelle-sur-Erdre
FRXX1287;Le Croisic
FRXX1288;Isse
FRXX1289;Trignac
FRXX1290;Le Doulieu
FRXX1291;Saint-Just-en-Chaussee
FRXX1292;Rethondes
FRXX1293;Rainvillers
FRXX1294;Monclar-de-Quercy
FRXX1295;Monteils
FRXX1296;Bressols
FRXX1297;Saint-Paulien
FRXX1298;Saint-Geron
FRXX1299;Vezezoux
FRXX1300;Vorey
FRXX1301;Jargeau
FRXX1302;Saint-Hilaire-Saint-Mesmin
FRXX1303;Senlis
FRXX1304;Vias
FRXX1305;Lignan-sur-Orb
FRXX1306;Saint-Frajou
FRXX1307;Villeneuve-Tolosane
FRXX1308;Villefranche-de-Lauragais
FRXX1309;Grenade
FRXX1310;Montrabe
FRXX1311;Draguignan
FRXX1312;Le Cannet-des-Maures
FRXX1313;Sillans-la-Cascade
FRXX1314;La Cadiere-d'Azur
FRXX1315;Rayol-Canadel-sur-Mer
FRXX1316;La Motte
FRXX1317;Le Lavandou
FRXX1318;Saint-Hilaire
FRXX1319;Oytier-Saint-Oblas
FRXX1320;Crolles
FRXX1321;Saint-Clair-sur-Galaure
FRXX1322;Marigny-sur-Yonne
FRXX1323;Boran-sur-Oise
FRXX1324;Mareuil-sur-Ourcq
FRXX1325;Nonant-le-Pin
FRXX1326;Melesse
FRXX1327;Miniac-Morvan
FRXX1328;Pleine-Fougeres
FRXX1329;Saint-Benoit-du-Sault
FRXX1330;Vic-la-Gardiole
FRXX1331;Jouy-aux-Arches
FRXX1332;Ham-en-Artois
FRXX1333;Helfaut
FRXX1334;Bondues
FRXX1335;Saulzet-le-Froid
FRXX1336;Tardets-Sorholus
FRXX1337;La Montagne
FRXX1338;Sainte-Pazanne
FRXX1339;Bouaye
FRXX1340;Saint-Jean-de-la-Ruelle
FRXX1341;Perrignier
FRXX1342;Selvigny
FRXX1343;Herlies
FRXX1344;Wavrin
FRXX1345;Busigny
FRXX1346;Villers-Outreaux
FRXX1347;Anzin
FRXX1348;Mouvaux
FRXX1349;Marquette-lez-Lille
FRXX1350;Raucourt-au-Bois
FRXX1351;Villelongue-de-la-Salanque
FRXX1352;Goderville
FRXX1353;Merville
FRXX1354;Wattignies-la-Victoire
FRXX1355;Louvroil
FRXX1356;Lagarde-Hachan
FRXX1357;Gradignan
FRXX1358;Pauillac
FRXX1359;Listrac-Medoc
FRXX1360;Sainte-Eulalie
FRXX1361;Noyers-sur-Cher
FRXX1362;Le Gault-Perche
FRXX1363;Selles-Saint-Denis
FRXX1364;Louveciennes
FRXX1365;Chavanod
FRXX1366;La Villedieu-en-Fontenette
FRXX1367;Miellin
FRXX1368;Peyrusse-Massas
FRXX1369;Monferran-Saves
FRXX1370;Montaut-les-Creneaux
FRXX1371;Luant
FRXX1372;Saint-Genou
FRXX1373;La Croix-en-Touraine
FRXX1374;Parcay-sur-Vienne
FRXX1375;Saint-Julien-en-Genevois
FRXX1376;Thonon-les-Bains
FRXX1377;Lathuile
FRXX1378;Didenheim
FRXX1379;Lahitte
FRXX1380;Lutilhous
